Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,cleaned_Timestamp,cleaned_Gender,cleaned_Country,cleaned_state,cleaned_self_employed,cleaned_family_history,cleaned_treatment,cleaned_work_interfere,cleaned_no_employees,cleaned_remote_work,cleaned_tech_company,cleaned_benefits,cleaned_care_options,cleaned_wellness_program,cleaned_seek_help,cleaned_anonymity,cleaned_leave,cleaned_mental_health_consequence,cleaned_phys_health_consequence,cleaned_coworkers,cleaned_supervisor,cleaned_mental_health_interview,cleaned_phys_health_interview,cleaned_mental_vs_physical,cleaned_obs_consequence,cleaned_comments
2014-08-27 11:32:44,31,Male,United States,OH,,No,Yes,Sometimes,6-25,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,,20140827 113244,male,united states,oh,,,yes,sometimes,625,yes,yes,dont know,,,,dont know,dont know,,,,yes,,,dont know,,
2014-08-27 11:32:49,29,male,Bulgaria,,,No,No,Never,100-500,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No,,20140827 113249,male,bulgaria,,,,,never,100500,yes,yes,dont know,sure,,,dont know,dont know,,,yes,yes,yes,yes,dont know,,
2014-08-27 11:33:23,42,female,United States,CA,,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,,20140827 113323,female,united states,ca,,yes,yes,sometimes,26100,,,yes,yes,,,dont know,somewhat difficult,yes,yes,yes,yes,maybe,maybe,,yes,
2014-08-27 11:33:26,36,Male,United States,CT,,Yes,No,Never,500-1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.,20140827 113326,male,united states,ct,,yes,,never,5001000,,yes,dont know,sure,,dont know,dont know,dont know,,,yes,yes,,,dont know,,im companys health insurance could part reason answered dont know many questions
2014-08-27 11:33:57,27,Male,Canada,,,No,No,Never,6-25,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,,20140827 113357,male,canada,,,,,never,625,,yes,dont know,sure,dont know,dont know,dont know,somewhat easy,,,,,maybe,yes,yes,,
2014-08-27 11:34:00,29,female,United States,IL,,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know,No,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. ,20140827 113400,female,united states,il,,yes,yes,rarely,26100,,yes,yes,sure,,,dont know,somewhat easy,,,yes,,maybe,maybe,dont know,,chronic lowlevel neurological issues mental health side effects one supervisors also experienced similar neurological problems feel comfortable open issues would someone without experience
2014-08-27 11:34:20,23,Male,United Kingdom,,,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No,My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.,20140827 113420,male,united kingdom,,,,yes,sometimes,26100,yes,yes,dont know,,dont know,dont know,dont know,easy,maybe,,,,maybe,maybe,,,company provide healthcare im fixedterm contract mental healthcare use provided entirely outside work
2014-08-27 11:34:37,32,Male,United States,TN,,No,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,No,No,,20140827 113437,male,united states,tn,,,yes,sometimes,625,,yes,yes,yes,,dont know,dont know,dont know,maybe,,,yes,,,,,
2014-08-27 11:34:53,46,male,United States,MD,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,,20140827 113453,male,united states,md,yes,yes,,sometimes,15,yes,yes,yes,sure,yes,dont know,yes,easy,,,yes,yes,,yes,yes,yes,
2014-08-27 11:35:08,36,Male,France,,Yes,Yes,No,,6-25,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,,20140827 113508,male,france,,yes,yes,,,625,yes,yes,,,yes,,yes,somewhat easy,,,,,maybe,maybe,dont know,,
2014-08-27 11:35:12,29,Male,United States,NY,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,No,,20140827 113512,male,united states,ny,,yes,yes,sometimes,100500,,yes,yes,yes,,,,somewhat difficult,maybe,,,,,,,,
2014-08-27 11:35:24,31,male,United States,NC,Yes,No,No,Never,1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No,,20140827 113524,male,united states,nc,yes,,,never,15,yes,yes,,,,,yes,somewhat difficult,,,,,,maybe,yes,,
2014-08-27 11:35:48,46,Male,United States,MA,No,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No,,20140827 113548,male,united states,,,,yes,often,26100,yes,yes,yes,yes,,,dont know,dont know,maybe,,,yes,,maybe,,,
2014-08-27 11:36:24,41,Male,United States,IA,No,No,Yes,Never,More than 1000,No,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Yes,Don't know,No,,20140827 113624,male,united states,ia,,,yes,never,1000,,,dont know,,,dont know,dont know,dont know,maybe,,,,,yes,dont know,,
2014-08-27 11:36:48,33,male,United States,CA,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No,Yes,Yes,No,Yes,Don't know,No,Relatively new job. Ask again later,20140827 113648,male,united states,ca,,yes,yes,rarely,26100,,yes,yes,sure,dont know,yes,yes,dont know,,,yes,yes,,yes,dont know,,relatively new job ask later
2014-08-27 11:37:08,35,male,United States,TN,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,Don't know,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better,20140827 113708,male,united states,tn,,yes,yes,sometimes,1000,,,yes,yes,,dont know,,easy,yes,,,yes,,yes,,,sometimes think using drugs mental health issues use drugs feel better
2014-08-27 11:37:23,33,male,United States,TN,No,No,No,,1-5,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No,,20140827 113723,male,united states,tn,,,,,15,,yes,dont know,sure,,dont know,dont know,dont know,maybe,maybe,,,,,dont know,,
2014-08-27 11:37:59,35,Female,United States,CA,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,,20140827 113759,female,united states,ca,,yes,yes,rarely,625,yes,yes,yes,yes,dont know,dont know,dont know,dont know,,,yes,yes,maybe,maybe,yes,,
2014-08-27 11:38:12,34,male,United States,OH,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No,Some of them,No,No,No,No,No,,20140827 113812,male,united states,oh,,,yes,sometimes,26100,yes,yes,dont know,sure,,dont know,dont know,somewhat difficult,,,,,,,,,
2014-08-27 11:38:18,37,Male,United Kingdom,,No,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Don't know,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,No,,20140827 113818,male,united kingdom,,,,,sometimes,625,,yes,,,,,dont know,difficult,yes,maybe,,,,maybe,,,
2014-08-27 11:39:03,32,Male,United Kingdom,,No,No,No,Never,6-25,Yes,Yes,No,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,,20140827 113903,male,united kingdom,,,,,never,625,yes,yes,,,,,dont know,dont know,yes,yes,,,,maybe,,,
2014-08-27 11:38:55,31,Male,United States,PA,Yes,Yes,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,No,No,Yes,,20140827 113855,male,united states,pa,yes,yes,,rarely,15,yes,yes,,yes,,,dont know,somewhat difficult,yes,,,,,,,yes,
2014-08-27 11:39:31,30,male,United Kingdom,,No,Yes,Yes,Sometimes,500-1000,Yes,Yes,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Don't know,No,,20140827 113931,male,united kingdom,,,yes,yes,sometimes,5001000,yes,yes,dont know,,,,yes,somewhat easy,maybe,,,yes,,yes,dont know,,
2014-08-27 11:39:36,42,Male,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No,I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.,20140827 113936,male,united states,wa,,yes,yes,sometimes,26100,yes,yes,yes,yes,yes,yes,yes,easy,maybe,,,,maybe,yes,dont know,,selected current employer based policies self care quality overall health wellness benefits still residual caution previous employers ranged ambivalent indifferent actively hostile regarding mental health concerns
2014-08-27 11:40:51,40,female,United States,WI,No,No,Yes,Sometimes,1-5,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Yes,No,,20140827 114051,female,united states,wi,,,yes,sometimes,15,,yes,yes,yes,,,dont know,dont know,maybe,,,,,maybe,yes,,
2014-08-27 11:41:17,27,Male,United States,NY,No,No,Yes,Rarely,6-25,No,Yes,No,Yes,No,No,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,,20140827 114117,male,united states,ny,,,yes,rarely,625,,yes,,yes,,,dont know,easy,,,yes,yes,maybe,maybe,dont know,,
2014-08-27 11:41:37,29,Male,Canada,,No,No,No,Rarely,1-5,No,Yes,No,No,No,No,Don't know,Very easy,Yes,Maybe,Some of them,No,No,No,Don't know,No,,20140827 114137,male,canada,,,,,rarely,15,,yes,,,,,dont know,easy,yes,maybe,,,,,dont know,,
2014-08-27 11:41:50,38,Male,Portugal,,No,No,No,,100-500,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No,,20140827 114150,male,portugal,,,,,,100500,,yes,,yes,,,dont know,somewhat easy,maybe,,,,,maybe,,,
2014-08-27 11:42:08,50,M,United States,IN,No,No,No,,100-500,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,,20140827 114208,,united states,,,,,,100500,,yes,yes,yes,,dont know,dont know,dont know,,,,yes,,maybe,dont know,,
2014-08-27 11:42:15,35,M,United States,TX,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,,20140827 114215,,united states,tx,,,yes,rarely,1000,yes,yes,yes,yes,,yes,yes,easy,,,yes,yes,maybe,maybe,yes,,
2014-08-27 11:42:25,24,Male,United Kingdom,,No,No,Yes,Sometimes,6-25,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Yes,No,Yes,,20140827 114225,male,united kingdom,,,,yes,sometimes,625,,yes,,,,,dont know,dont know,maybe,maybe,,,,yes,,yes,
2014-08-27 11:42:31,35,Male,United States,MI,No,No,No,,More than 1000,Yes,Yes,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,Don't know,No,,20140827 114231,male,united states,mi,,,,,1000,yes,yes,yes,sure,dont know,yes,dont know,somewhat difficult,yes,yes,,,,maybe,dont know,,
2014-08-27 11:43:07,27,Male,Canada,,No,Yes,Yes,Sometimes,1-5,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,No,No,No,Yes,No,,20140827 114307,male,canada,,,yes,yes,sometimes,15,,yes,,yes,,,yes,difficult,maybe,,,,,,yes,,
2014-08-27 11:43:10,18,Male,Netherlands,,No,No,No,Often,6-25,No,Yes,No,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,Some of them,No,No,No,No,,20140827 114310,male,netherlands,,,,,often,625,,yes,,sure,,,dont know,somewhat difficult,yes,maybe,,,,,,,
2014-08-27 11:43:22,30,Male,United States,IN,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No,,20140827 114322,male,united states,,,,yes,sometimes,26100,,yes,dont know,,,,dont know,dont know,,,,,,maybe,dont know,,
2014-08-27 11:43:36,38,Female,United States,TX,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering.,20140827 114336,female,united states,tx,,yes,yes,sometimes,26100,,yes,yes,yes,,yes,yes,somewhat easy,,,,yes,,,yes,,health plan covered psychotherapy antidepressant medication manager aware discreet throughout get negative reviews depression trashing delivery yknow wasnt delivering
2014-08-27 11:43:45,28,Male,United Kingdom,,No,No,No,,26-100,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Maybe,Yes,Don't know,No,,20140827 114345,male,united kingdom,,,,,,26100,,yes,dont know,sure,,,dont know,dont know,,maybe,,yes,maybe,yes,dont know,,
2014-08-27 11:43:48,34,Male,United States,TN,No,No,No,,6-25,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,,20140827 114348,male,united states,tn,,,,,625,,yes,,,,,dont know,dont know,,,yes,yes,maybe,yes,dont know,,
2014-08-27 11:43:56,26,m,Canada,,Yes,No,No,Sometimes,1-5,No,Yes,No,Yes,Yes,No,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No,,20140827 114356,,canada,,yes,,,sometimes,15,,yes,,yes,yes,,dont know,dont know,,,yes,yes,,,yes,,
2014-08-27 11:44:43,30,male,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,I just started a new job last week hence a lot of don't know's,20140827 114443,male,united states,il,,yes,yes,rarely,26100,,yes,yes,,,dont know,dont know,dont know,maybe,,,yes,,,dont know,,started new job last week hence lot dont knows
2014-08-27 11:44:55,22,M,United States,TX,No,Yes,Yes,Often,6-25,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,No,Maybe,Don't know,No,,20140827 114455,,united states,tx,,yes,yes,often,625,,yes,,yes,,,yes,difficult,maybe,,,,,maybe,dont know,,
2014-08-27 11:45:32,33,Male,United States,UT,No,No,No,,100-500,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,,20140827 114532,male,united states,ut,,,,,100500,yes,yes,dont know,sure,dont know,dont know,dont know,dont know,,,,yes,maybe,maybe,dont know,,
2014-08-27 11:45:33,31,M,United States,,No,No,No,,100-500,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,,20140827 114533,,united states,,,,,,100500,yes,yes,dont know,,dont know,dont know,dont know,dont know,maybe,maybe,,,maybe,maybe,dont know,,
2014-08-27 11:45:51,32,Male,United States,TN,No,No,No,Never,1-5,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,,20140827 114551,male,united states,tn,,,,never,15,yes,yes,dont know,sure,,,dont know,dont know,maybe,,,yes,,,dont know,,
2014-08-27 11:46:36,28,M,Switzerland,,No,No,No,,100-500,No,Yes,No,No,No,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No,,20140827 114636,,switzerland,,,,,,100500,,yes,,,,,dont know,dont know,,,,,,maybe,dont know,,
2014-08-27 11:46:49,27,Male-ish,United States,NY,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,,20140827 114649,maleish,united states,ny,,yes,yes,rarely,26100,,yes,yes,yes,,,yes,dont know,maybe,,,,,,dont know,,
2014-08-27 11:46:55,32,maile,United States,TN,No,Yes,No,,6-25,Yes,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,,20140827 114655,maile,united states,tn,,yes,,,625,yes,yes,dont know,,,,dont know,somewhat easy,,,yes,yes,,,yes,,
2014-08-27 11:47:10,24,Male,United States,NY,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Yes,Yes,No,No,,20140827 114710,male,united states,ny,,yes,yes,sometimes,26100,yes,yes,dont know,,,,dont know,dont know,,maybe,,yes,yes,yes,,,
2014-08-27 11:47:33,26,Male,United States,TN,No,No,No,,26-100,No,No,No,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,,20140827 114733,male,united states,tn,,,,,26100,,,,,,,yes,somewhat easy,,,,yes,maybe,yes,dont know,,
2014-08-27 11:47:56,33,male,Canada,,No,Yes,Yes,Often,6-25,Yes,Yes,Don't know,No,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No,In addition to my own mental health issues I've known several coworkers that may be suffering and I don't know how to tell them I empathize and that I want to help.,20140827 114756,male,canada,,,yes,yes,often,625,yes,yes,dont know,,,,,somewhat difficult,yes,,,,,maybe,dont know,,addition mental health issues ive known several coworkers may suffering dont know tell empathize want help
2014-08-27 11:48:57,44,Male,United States,IA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,No,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No,Maybe,Don't know,Yes,,20140827 114857,male,united states,ia,,yes,yes,sometimes,1000,,,yes,,,dont know,dont know,dont know,yes,maybe,,,,maybe,dont know,yes,
2014-08-27 11:49:51,26,Female,Poland,,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,,20140827 114951,female,poland,,,,yes,sometimes,26100,yes,yes,dont know,sure,yes,yes,yes,easy,,,yes,yes,maybe,yes,yes,,
2014-08-27 11:50:27,27,Male,United Kingdom,,No,No,No,Never,100-500,No,Yes,Yes,Not sure,No,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,,20140827 115027,male,united kingdom,,,,,never,100500,,yes,yes,sure,,yes,dont know,somewhat easy,,,yes,yes,maybe,maybe,yes,,
2014-08-27 11:50:28,26,Male,France,,No,No,No,,26-100,No,Yes,No,No,No,No,Don't know,Very easy,Yes,No,No,No,No,No,No,Yes,,20140827 115028,male,france,,,,,,26100,,yes,,,,,dont know,easy,yes,,,,,,,yes,
2014-08-27 11:50:46,35,male,Canada,,No,No,No,Sometimes,6-25,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Don't know,No,,20140827 115046,male,canada,,,,,sometimes,625,,yes,dont know,,,,dont know,somewhat easy,,,,yes,,maybe,dont know,,
2014-08-27 11:51:07,40,Male,United States,CA,No,Yes,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,Yes,,20140827 115107,male,united states,ca,,yes,,sometimes,1000,yes,yes,yes,yes,yes,yes,dont know,dont know,yes,maybe,,,,,,yes,
2014-08-27 11:51:34,23,Female,Australia,,No,Yes,Yes,Often,1-5,Yes,Yes,No,Not sure,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Thanks for doing this research.,20140827 115134,female,australia,,,yes,yes,often,15,yes,yes,,sure,,,dont know,easy,,,,yes,,maybe,yes,,thanks research
2014-08-27 11:52:07,36,M,United States,TX,No,No,No,Sometimes,100-500,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No,,20140827 115207,,united states,tx,,,,sometimes,100500,yes,yes,yes,,dont know,yes,dont know,dont know,maybe,,,,maybe,yes,yes,,
2014-08-27 11:52:41,31,Female,United States,NM,No,No,No,,26-100,Yes,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,,20140827 115241,female,united states,nm,,,,,26100,yes,,dont know,,dont know,dont know,dont know,dont know,maybe,,,,,maybe,dont know,,
2014-08-27 11:52:44,34,Male,United States,NY,Yes,No,No,Rarely,1-5,Yes,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,,20140827 115244,male,united states,ny,yes,,,rarely,15,yes,yes,,,,,dont know,dont know,maybe,,,,,,dont know,,
2014-08-27 11:53:05,28,m,France,,No,No,No,Never,26-100,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,,20140827 115305,,france,,,,,never,26100,,yes,,,,,dont know,dont know,maybe,,,,,,dont know,,
2014-08-27 11:53:25,34,male,Canada,,No,No,No,Never,6-25,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,,20140827 115325,male,canada,,,,,never,625,,yes,dont know,sure,dont know,dont know,dont know,somewhat easy,,,,yes,,,dont know,,
2014-08-27 11:54:27,23,Trans-female,United States,MA,No,No,No,Rarely,More than 1000,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No,,20140827 115427,transfemale,united states,,,,,rarely,1000,,yes,yes,yes,,,yes,somewhat difficult,maybe,,yes,yes,,,,,
2014-08-27 11:56:17,38,Male,United Kingdom,,No,No,No,,26-100,No,Yes,No,No,No,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,,20140827 115617,male,united kingdom,,,,,,26100,,yes,,,,dont know,yes,somewhat easy,,,,yes,maybe,yes,yes,,
2014-08-27 11:56:29,33,Male,United States,CA,No,No,No,Never,More than 1000,No,Yes,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,,20140827 115629,male,united states,ca,,,,never,1000,,yes,dont know,sure,yes,dont know,dont know,dont know,maybe,,,,,maybe,yes,,
2014-08-27 11:57:30,19,Male,United Kingdom,,No,No,No,,1-5,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No,,20140827 115730,male,united kingdom,,,,,,15,,yes,,yes,,,,somewhat difficult,yes,,,,,maybe,,,
2014-08-27 11:57:33,25,Male,United States,WA,No,No,No,,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No,,20140827 115733,male,united states,wa,,,,,1000,yes,yes,yes,yes,yes,yes,dont know,dont know,,,yes,yes,maybe,yes,yes,,
